(0-0)+0=0;(1*1)-1=1
(1+3)*(2*2)=16;(2-4)/(3/3)=27
(3*4)+1=13;(4/5)-2=24
(3*2)-(3+2)=1;(4/3)*(4-3)=2
(1+3)*(4-1)=12;(2-4)/(5*2)=23
(4-1)-(4*0)=3;(5*2)*(5/1)=4
(1*2)*(4-2)=4;(2/3)/(5*3)=5
(3-2)*(4-0)=4;(4*3)/(5*1)=5
(3*1)*(1+4)=15;(4/2)/(2-5)=26
(4-3)*(4+1)=5;(5*4)/(5-2)=6
(4*3)*(3+0)=36;(5/4)/(4-1)=47
(4*4)+(0-1)=15;(5/5)-(1*2)=26
(1-0)+(3*4)=13;(2*1)-(4/5)=24
(4+4)-(3+4)=1;(5-5)*(4-5)=2
(0*4)+(1+3)=4;(1/5)-(2-4)=5
(3-4)*(0*2)=0;(4*5)/(1/3)=1
(2*2)+0=4;(3/3)-1=5
(3+1)*(3*4)=48;(4-2)/(4/5)=59
(1+3)+(1+2)=7;(2-4)-(2-3)=8
(0-0)*(3+4)=0;(1*1)/(4-5)=1
(4+0)*(4*0)=0;(5-1)/(5/1)=1
(1+0)*(0+0)=0;(2-1)/(1-1)=1
(4-1)+(0+0)=3;(5*2)-(1-1)=4
(4-2)+(0+3)=5;(5*3)-(1-4)=6
(1*4)*(3+4)=28;(2/5)/(4-5)=39
(2+3)+(4*1)=9;(3-4)-(5/2)=0
(2+0)-(1-2)=3;(3-1)*(2*3)=4
(2*0)*(3+2)=0;(3/1)/(4-3)=1
(2-4)+(4+3)=5;(3*5)-(5-4)=6
(2+4)*(3-1)=12;(3-5)/(4*2)=23
(3*4)*(2*4)=96;(4/5)/(3/5)=07
(4-3)+(0+2)=3;(5*4)-(1-3)=4
2-(0-1)=3;3*(1*2)=4
(4*1)-(3-0)=1;(5/2)*(4*1)=2
(4+0)+(3-2)=5;(5-1)-(4*3)=6
(2+4)+(3*0)=6;(3-5)-(4/1)=7
(1*0)+(0-0)=0;(2/1)-(1*1)=1
(3+2)*(2-0)=10;(4-3)/(3*1)=21
(1+3)+2=6;(2-4)-3=7
(3-1)*2=4;(4*2)/3=5
(2+1)*(4*1)=12;(3-2)/(5/2)=23
(2-1)+(4+0)=5;(3*2)-(5-1)=6
(2+3)+(0-3)=2;(3-4)-(1*4)=3
(4-2)-(0*1)=2;(5*3)*(1/2)=3
(2*3)+(2+2)=10;(3/4)-(3-3)=21
(4-0)+(0-2)=2;(5*1)-(1*3)=3
(2+3)-(4*1)=1;(3-4)*(5/2)=2
(4+3)-(2-4)=9;(5-4)*(3*5)=0
(1+1)*(4*1)=8;(2-2)/(5/2)=9
(3*3)+(1-1)=9;(4/4)-(2*2)=0
(4-0)-(1-3)=6;(5*1)*(2*4)=7
1+(2+0)=3;2-(3-1)=4
(0-0)*(0-2)=0;(1*1)/(1*3)=1
(3*4)+(4+1)=17;(4/5)-(5-2)=28
(4+2)+(3+1)=10;(5-3)-(4-2)=21
(3-1)*(0+0)=0;(4*2)/(1-1)=1
(4*2)+(1*0)=8;(5/3)-(2/1)=9
(0*1)+(3*0)=0;(1/2)-(4/1)=1
(1+3)-(0-2)=6;(2-4)*(1*3)=7
(3+1)*(2+0)=8;(4-2)/(3-1)=9
(3+4)-(3+3)=1;(4-5)*(4-4)=2
(2+4)-(0-4)=10;(3-5)*(1*5)=21
(4*3)+(0*0)=12;(5/4)-(1/1)=23
(4*3)*(4*2)=96;(5/4)/(5/3)=07
(2+4)+(3+0)=9;(3-5)-(4-1)=0
(3-3)*(0*0)=0;(4*4)/(1/1)=1
(0*3)+1=1;(1/4)-2=2
(2*1)*(2-2)=0;(3/2)/(3*3)=1
(3-1)-2=0;(4*2)*3=1
(2+0)*(2*2)=8;(3-1)/(3/3)=9
(1*1)*(3-3)=0;(2/2)/(4*4)=1
(3*0)*(3+0)=0;(4/1)/(4-1)=1
(1-2)+(4-2)=1;(2*3)-(5*3)=2
(1+2)+(2-2)=3;(2-3)-(3*3)=4
(3-2)+(3-4)=0;(4*3)-(4*5)=1
(4*4)-(0+4)=12;(5/5)*(1-5)=23
(4+3)*(1*2)=14;(5-4)/(2/3)=25
(4-1)-(2-4)=5;(5*2)*(3*5)=6
1+(0+1)=2;2-(1-2)=3
(3+0)*(4+2)=18;(4-1)/(5-3)=29
(2-0)+(4*2)=10;(3*1)-(5/3)=21
4*(0*2)=0;5/(1/3)=1
(4+4)*(1+0)=8;(5-5)/(2-1)=9
(0*4)*(4*2)=0;(1/5)/(5/3)=1
(4-4)+(4*0)=0;(5*5)-(5/1)=1
(4+2)+(2*4)=14;(5-3)-(3/5)=25
(3+0)*(3-2)=3;(4-1)/(4*3)=4
(1*3)+(2+4)=9;(2/4)-(3-5)=0
(3*1)*(0+2)=6;(4/2)/(1-3)=7
(2*3)+(3+4)=13;(3/4)-(4-5)=24
(3*1)*(2-0)=6;(4/2)/(3*1)=7
(2*1)*(3*1)=6;(3/2)/(4/2)=7
(2-3)+(2+0)=1;(3*4)-(3-1)=2
(1*2)-(4-3)=1;(2/3)*(5*4)=2
(4-0)-(0+0)=4;(5*1)*(1-1)=5
(1-0)+(0-1)=0;(2*1)-(1*2)=1
(0*2)+(1+4)=5;(1/3)-(2-5)=6
(4+1)+(3-4)=4;(5-2)-(4*5)=5
(4*0)*(1+2)=0;(5/1)/(2-3)=1
(1*3)*(4-4)=0;(2/4)/(5*5)=1
(4+2)-(0+0)=6;(5-3)*(1-1)=7
(1*0)*(2*4)=0;(2/1)/(3/5)=1
(4-2)+(4-4)=2;(5*3)-(5*5)=3
(3-3)*(1*2)=0;(4*4)/(2/3)=1
(2+3)-0=5;(3-4)*1=6
(2+3)*(2*1)=10;(3-4)/(3/2)=21
(0*4)-(4*0)=0;(1/5)*(5/1)=1
(0-1)+(2*1)=1;(1*2)-(3/2)=2
(0*3)*(2+0)=0;(1/4)/(3-1)=1
(0-1)*(0+0)=0;(1*2)/(1-1)=1
(2-1)+(3-3)=1;(3*2)-(4*4)=2
(4+4)*(0+0)=0;(5-5)/(1-1)=1
(3+0)+(3*3)=12;(4-1)-(4/4)=23
(3+2)-(0-4)=9;(4-3)*(1*5)=0
(0+3)+(3+3)=9;(1-4)-(4-4)=0
(2-2)*(3+4)=0;(3*3)/(4-5)=1
(3-1)-(1+0)=1;(4*2)*(2-1)=2
(3+3)-(2+0)=4;(4-4)*(3-1)=5
(3-0)+(0*2)=3;(4*1)-(1/3)=4
(0+1)*(4-1)=3;(1-2)/(5*2)=4
(0*0)+(1*3)=3;(1/1)-(2/4)=4
(4-0)-(0-2)=6;(5*1)*(1*3)=7
(2*2)+(2+4)=10;(3/3)-(3-5)=21
(3*3)*(1+3)=36;(4/4)/(2-4)=47
(3*3)-(3+2)=4;(4/4)*(4-3)=5
(4*2)+(1+4)=13;(5/3)-(2-5)=24
(2*1)+(3-0)=5;(3/2)-(4*1)=6
(4-1)-(1-4)=6;(5*2)*(2*5)=7
(0+1)+(1*4)=5;(1-2)-(2/5)=6
(0+0)-(4-4)=0;(1-1)*(5*5)=1
(2-3)*(0-1)=1;(3*4)/(1*2)=2
(4-0)+(4*2)=12;(5*1)-(5/3)=23
(1+4)-(3-4)=6;(2-5)*(4*5)=7
(3*2)+(0+2)=8;(4/3)-(1-3)=9
(1*3)*(1*4)=12;(2/4)/(2/5)=23
(2+1)+(3*2)=9;(3-2)-(4/3)=0
(1*2)*(3*4)=24;(2/3)/(4/5)=35
(0-2)*(1-3)=4;(1*3)/(2*4)=5
(3-2)+(1*0)=1;(4*3)-(2/1)=2
(0+1)*(2-0)=2;(1-2)/(3*1)=3
(2-3)*(0-4)=4;(3*4)/(1*5)=5
(4-3)+(2+1)=4;(5*4)-(3-2)=5
(3+1)+3=7;(4-2)-4=8
(2+2)+3=7;(3-3)-4=8
(3-4)+(4+3)=6;(4*5)-(5-4)=7
(3*4)+(2*2)=16;(4/5)-(3/3)=27
(0*3)+(0+3)=3;(1/4)-(1-4)=4
(4+1)*(0*2)=0;(5-2)/(1/3)=1
(0-0)+(4+2)=6;(1*1)-(5-3)=7
(1*2)-(0*4)=2;(2/3)*(1/5)=3
3+(0*4)=3;4-(1/5)=4
(2-2)*(2*2)=0;(3*3)/(3/3)=1
(3*1)*1=3;(4/2)/2=4
(3*4)-(0*4)=12;(4/5)*(1/5)=23
(0+3)*(2*4)=24;(1-4)/(3/5)=35
(4-2)-(1*1)=1;(5*3)*(2/2)=2
(0-0)+(3*0)=0;(1*1)-(4/1)=1
(3*4)+(1+2)=15;(4/5)-(2-3)=26
3-(0*2)=3;4*(1/3)=4
(3*3)-(0-0)=9;(4/4)*(1*1)=0
(3-1)+(1-1)=2;(4*2)-(2*2)=3
(1-2)*(4*0)=0;(2*3)/(5/1)=1
(2*3)+0=6;(3/4)-1=7
(1+1)+(4*1)=6;(2-2)-(5/2)=7
(0+3)+3=6;(1-4)-4=7
(0-1)-(1-2)=0;(1*2)*(2*3)=1
(3+0)-(1*3)=0;(4-1)*(2/4)=1
(1-0)*(4+3)=7;(2*1)/(5-4)=8
(4*2)*(0+2)=16;(5/3)/(1-3)=27
(0+0)*0=0;(1-1)/1=1
(3*0)+(3*2)=6;(4/1)-(4/3)=7
(2-1)*(0*4)=0;(3*2)/(1/5)=1
(4*3)*4=48;(5/4)/5=59
(3*2)*(3-1)=12;(4/3)/(4*2)=23
(0+0)+(1-0)=1;(1-1)-(2*1)=2
(3*4)-(4-3)=11;(4/5)*(5*4)=22
(0+3)*(4+4)=24;(1-4)/(5-5)=35
(2+4)-(0*2)=6;(3-5)*(1/3)=7
(4-2)+(0+2)=4;(5*3)-(1-3)=5
(2+2)+2=6;(3-3)-3=7
(4*1)+(4*1)=8;(5/2)-(5/2)=9
(3*1)*(3*4)=36;(4/2)/(4/5)=47
(4+3)*(4+4)=56;(5-4)/(5-5)=67
(1*2)*(1+2)=6;(2/3)/(2-3)=7
(4*4)*(4+1)=80;(5/5)/(5-2)=91
(4+1)+(2+3)=10;(5-2)-(3-4)=21
(4*4)+(3-0)=19;(5/5)-(4*1)=20
(3+0)*(1*0)=0;(4-1)/(2/1)=1
(1-2)+(1+1)=1;(2*3)-(2-2)=2
(4-1)-(1-0)=2;(5*2)*(2*1)=3
(1+3)*4=16;(2-4)/5=27
(4*3)*(3+3)=72;(5/4)/(4-4)=83
(2+4)+(4*1)=10;(3-5)-(5/2)=21
(2+2)+(3-0)=7;(3-3)-(4*1)=8
(1+1)*(2*0)=0;(2-2)/(3/1)=1
(1+1)*(1*4)=8;(2-2)/(2/5)=9
(1*3)*(3*1)=9;(2/4)/(4/2)=0
1*4=4;2/5=5
(0*2)*(4*4)=0;(1/3)/(5/5)=1
(0+3)-(3+0)=0;(1-4)*(4-1)=1
3+(1-4)=0;4-(2*5)=1
(3-1)-(1-1)=2;(4*2)*(2*2)=3
(4+1)+2=7;(5-2)-3=8
(4*3)-(4+4)=4;(5/4)*(5-5)=5
(3-2)-(1-0)=0;(4*3)*(2*1)=1
(3-1)*(3+3)=12;(4*2)/(4-4)=23
(2*3)*(3*4)=72;(3/4)/(4/5)=83
(4*4)*(2*4)=128;(5/5)/(3/5)=239
(4-1)-(0-2)=5;(5*2)*(1*3)=6
(2-2)+(3*0)=0;(3*3)-(4/1)=1
(3+4)+(3-1)=9;(4-5)-(4*2)=0
(1*2)-(1-4)=5;(2/3)*(2*5)=6
(1-0)+(1*1)=2;(2*1)-(2/2)=3
(0+0)+(4*1)=4;(1-1)-(5/2)=5
(4+2)+(4*1)=10;(5-3)-(5/2)=21
(3*2)+(4-4)=6;(4/3)-(5*5)=7
(4*4)*(1*4)=64;(5/5)/(2/5)=75
(2-3)+(3*2)=5;(3*4)-(4/3)=6
(3*4)*(3+0)=36;(4/5)/(4-1)=47
(0+1)+(3+3)=7;(1-2)-(4-4)=8
(1+3)+(4+1)=9;(2-4)-(5-2)=0
(4+1)*(2+3)=25;(5-2)/(3-4)=36
(1+2)-(4-4)=3;(2-3)*(5*5)=4
(4+0)-4=0;(5-1)*5=1
(4-3)+(2*2)=5;(5*4)-(3/3)=6
(2-2)*(2-0)=0;(3*3)/(3*1)=1
(2*1)+(0*2)=2;(3/2)-(1/3)=3
(0*4)*(3*4)=0;(1/5)/(4/5)=1
(3-2)*(2-1)=1;(4*3)/(3*2)=2
4+(2-3)=3;5-(3*4)=4
(3+3)*(4*2)=48;(4-4)/(5/3)=59
(2-3)+(4*1)=3;(3*4)-(5/2)=4
(1-1)+(2+4)=6;(2*2)-(3-5)=7
(0-1)*(1-1)=0;(1*2)/(2*2)=1
(1-0)+(1-2)=0;(2*1)-(2*3)=1
2+(2+1)=5;3-(3-2)=6
(0*4)*(0-2)=0;(1/5)/(1*3)=1
(0*3)+(4-3)=1;(1/4)-(5*4)=2
(1*2)+(2*4)=10;(2/3)-(3/5)=21
(4*3)-(1*3)=9;(5/4)*(2/4)=0
(2+2)*(2*4)=32;(3-3)/(3/5)=43
(3+2)-(2-3)=6;(4-3)*(3*4)=7
(2*2)*(2-0)=8;(3/3)/(3*1)=9
(3+1)+(1+3)=8;(4-2)-(2-4)=9
(1+1)-(0-3)=5;(2-2)*(1*4)=6
(0+0)+(4+0)=4;(1-1)-(5-1)=5
(4*3)-(4-4)=12;(5/4)*(5*5)=23
(4*1)-(2-1)=3;(5/2)*(3*2)=4
(4+1)+(2+1)=8;(5-2)-(3-2)=9
(2+1)*(4+3)=21;(3-2)/(5-4)=32
(3+2)*(1-0)=5;(4-3)/(2*1)=6
(3*2)-(3-3)=6;(4/3)*(4*4)=7
(1*3)*0=0;(2/4)/1=1
(3+2)+(2*4)=13;(4-3)-(3/5)=24
(2+2)-(1*1)=3;(3-3)*(2/2)=4
(1-3)-(0-3)=1;(2*4)*(1*4)=2
(2*3)+(2-3)=5;(3/4)-(3*4)=6
(4-4)+(1*4)=4;(5*5)-(2/5)=5
(0*0)-(0*4)=0;(1/1)*(1/5)=1
(1-1)*4=0;(2*2)/5=1
(3+3)+0=6;(4-4)-1=7
(1*2)+(3-4)=1;(2/3)-(4*5)=2
(3+1)*(1+4)=20;(4-2)/(2-5)=31
0*(4+0)=0;1/(5-1)=1
(4-2)+(4+3)=9;(5*3)-(5-4)=0
(1-4)*0=0;(2*5)/1=1
(2*3)*(4*0)=0;(3/4)/(5/1)=1
(3*0)*(4-3)=0;(4/1)/(5*4)=1
(3-1)+(1*2)=4;(4*2)-(2/3)=5
(0*1)-(0+0)=0;(1/2)*(1-1)=1
(4+2)*(4*4)=96;(5-3)/(5/5)=07
(4-4)+4=4;(5*5)-5=5
(1-1)+(0*3)=0;(2*2)-(1/4)=1
(4+4)+(3-1)=10;(5-5)-(4*2)=21
(0*4)*(1+3)=0;(1/5)/(2-4)=1
(4+0)-(0*2)=4;(5-1)*(1/3)=5
(3+0)*(0*4)=0;(4-1)/(1/5)=1
1*(4+3)=7;2/(5-4)=8
3+(2*0)=3;4-(3/1)=4
(3*3)-(0*2)=9;(4/4)*(1/3)=0
(1-2)-(1-3)=1;(2*3)*(2*4)=2
(4+3)+(4-1)=10;(5-4)-(5*2)=21
0+(3+3)=6;1-(4-4)=7
(3*1)*(1+3)=12;(4/2)/(2-4)=23
(0*4)*1=0;(1/5)/2=1
(1+4)-(0-4)=9;(2-5)*(1*5)=0
(4+4)-(2+3)=3;(5-5)*(3-4)=4
(4-2)+(1*0)=2;(5*3)-(2/1)=3
(0*0)*(1-0)=0;(1/1)/(2*1)=1
(3+4)*(1*1)=7;(4-5)/(2/2)=8
(0+0)+(2+4)=6;(1-1)-(3-5)=7
(1*4)*(0+0)=0;(2/5)/(1-1)=1
(0-1)+(3*3)=8;(1*2)-(4/4)=9
(0*3)-(3-3)=0;(1/4)*(4*4)=1
(2-0)+(4-3)=3;(3*1)-(5*4)=4
(1+1)+(3+4)=9;(2-2)-(4-5)=0
(2*0)*(0*1)=0;(3/1)/(1/2)=1
(0*2)+(1*1)=1;(1/3)-(2/2)=2
(2+0)+(1-3)=0;(3-1)-(2*4)=1
(2+1)-(0-4)=7;(3-2)*(1*5)=8
(2+0)*(2*4)=16;(3-1)/(3/5)=27
3*(3*3)=27;4/(4/4)=38
(1-1)-(1-2)=1;(2*2)*(2*3)=2
(0*3)*(2-1)=0;(1/4)/(3*2)=1
(3-2)+(1*1)=2;(4*3)-(2/2)=3
(4-3)-(1-3)=3;(5*4)*(2*4)=4
(3*1)+(3-2)=4;(4/2)-(4*3)=5
(3-2)+(4+0)=5;(4*3)-(5-1)=6
(0+4)-(0*3)=4;(1-5)*(1/4)=5
(2-2)*(0*0)=0;(3*3)/(1/1)=1
(1*1)*(4+3)=7;(2/2)/(5-4)=8
(2*2)+(0+2)=6;(3/3)-(1-3)=7
(4+2)+(0*3)=6;(5-3)-(1/4)=7
(3+2)+(1-3)=3;(4-3)-(2*4)=4
(3-0)-(1*3)=0;(4*1)*(2/4)=1
(1+4)-(1+0)=4;(2-5)*(2-1)=5
(3+0)-(1*2)=1;(4-1)*(2/3)=2
(0+0)*(1-2)=0;(1-1)/(2*3)=1
(3-1)*(1+2)=6;(4*2)/(2-3)=7
2*(3+2)=10;3/(4-3)=21
(2*2)-(4-1)=1;(3/3)*(5*2)=2
(2*2)-(0+0)=4;(3/3)*(1-1)=5
(3-0)-(0+0)=3;(4*1)*(1-1)=4
(3*4)-(4-1)=9;(4/5)*(5*2)=0
(2-4)*(0*0)=0;(3*5)/(1/1)=1
(4*2)-(3-3)=8;(5/3)*(4*4)=9
(1*1)-(0+1)=0;(2/2)*(1-2)=1
(1-1)+4=4;(2*2)-5=5
(0-0)+(1+3)=4;(1*1)-(2-4)=5
(0+3)-(0*4)=3;(1-4)*(1/5)=4
(1*1)+(0-1)=0;(2/2)-(1*2)=1
(2+4)+(0-3)=3;(3-5)-(1*4)=4
(1+3)+(2*0)=4;(2-4)-(3/1)=5
4*(2+2)=16;5/(3-3)=27
(4*2)*(4-4)=0;(5/3)/(5*5)=1
(4+2)*(1*0)=0;(5-3)/(2/1)=1
(4-3)+(0-0)=1;(5*4)-(1*1)=2
4+(2*2)=8;5-(3/3)=9
(4+1)*(2+2)=20;(5-2)/(3-3)=31
(1*2)*(0+4)=8;(2/3)/(1-5)=9
(1*2)+(3+0)=5;(2/3)-(4-1)=6
(2*3)+(3-3)=6;(3/4)-(4*4)=7
(4-2)+(1*1)=3;(5*3)-(2/2)=4
(3*2)-(0-3)=9;(4/3)*(1*4)=0
(2*3)-(3*1)=3;(3/4)*(4/2)=4
(4+4)-(0-3)=11;(5-5)*(1*4)=22
(3+2)*(3*0)=0;(4-3)/(4/1)=1
(0+4)+(1-1)=4;(1-5)-(2*2)=5
(4*2)-(0*0)=8;(5/3)*(1/1)=9
(2-1)-(2-3)=2;(3*2)*(3*4)=3
2*(1*3)=6;3/(2/4)=7
(3+4)+(4+2)=13;(4-5)-(5-3)=24
(1+2)+(0*4)=3;(2-3)-(1/5)=4
(4+1)+(4*0)=5;(5-2)-(5/1)=6
(0*1)*(0-3)=0;(1/2)/(1*4)=1
(3*0)*4=0;(4/1)/5=1
(3*2)-(3*1)=3;(4/3)*(4/2)=4
(3*1)+(2-4)=1;(4/2)-(3*5)=2
3*(2-1)=3;4/(3*2)=4
(2*4)+(0+2)=10;(3/5)-(1-3)=21
(3*4)+(1+3)=16;(4/5)-(2-4)=27
(2+1)-(1*2)=1;(3-2)*(2/3)=2
(3-0)*(3+3)=18;(4*1)/(4-4)=29
(0+3)+1=4;(1-4)-2=5
(4+2)+(4-0)=10;(5-3)-(5*1)=21
(2-4)*(1-1)=0;(3*5)/(2*2)=1
(3+1)*(0+4)=16;(4-2)/(1-5)=27
(4-3)-(1-1)=1;(5*4)*(2*2)=2
(1*2)+(2+3)=7;(2/3)-(3-4)=8
(3-1)*(1-0)=2;(4*2)/(2*1)=3
4+(4-1)=7;5-(5*2)=8
(1+2)+(2-3)=2;(2-3)-(3*4)=3
(0*1)+(4+3)=7;(1/2)-(5-4)=8
(1*1)+(3+3)=7;(2/2)-(4-4)=8
(4*1)-(2*0)=4;(5/2)*(3/1)=5
(2*3)*(3-1)=12;(3/4)/(4*2)=23
(4+1)*(2*3)=30;(5-2)/(3/4)=41
(1*1)*(2*2)=4;(2/2)/(3/3)=5
(1-4)*(1*0)=0;(2*5)/(2/1)=1
(3*0)+(3+4)=7;(4/1)-(4-5)=8
(4-3)*(3-2)=1;(5*4)/(4*3)=2
(0+1)+(0*4)=1;(1-2)-(1/5)=2
(2*0)-(0+0)=0;(3/1)*(1-1)=1
(0+2)*(3-1)=4;(1-3)/(4*2)=5
(4-3)+(4*3)=13;(5*4)-(5/4)=24
(3*2)+(3-1)=8;(4/3)-(4*2)=9
(4-2)*(3+4)=14;(5*3)/(4-5)=25
(3*3)*(0-0)=0;(4/4)/(1*1)=1
(1+3)+(2*3)=10;(2-4)-(3/4)=21
(3*0)+(2*4)=8;(4/1)-(3/5)=9
(4+2)+(3-4)=5;(5-3)-(4*5)=6
(0+4)*0=0;(1-5)/1=1
(0+3)+(0-1)=2;(1-4)-(1*2)=3
(1-1)*(3-0)=0;(2*2)/(4*1)=1
(2+1)-(3-0)=0;(3-2)*(4*1)=1
(3+4)*1=7;(4-5)/2=8
(4+4)*(4+4)=64;(5-5)/(5-5)=75
(1+0)-(1-1)=1;(2-1)*(2*2)=2
(4*2)+(2*3)=14;(5/3)-(3/4)=25
(0*3)*(4+2)=0;(1/4)/(5-3)=1
(2+0)+(4+2)=8;(3-1)-(5-3)=9
(4*2)+(0*1)=8;(5/3)-(1/2)=9
(1+1)*(1+2)=6;(2-2)/(2-3)=7
(2+1)+(4+0)=7;(3-2)-(5-1)=8
(0+1)+(1-0)=2;(1-2)-(2*1)=3
(0*3)+(1*4)=4;(1/4)-(2/5)=5
(3+2)+(1-2)=4;(4-3)-(2*3)=5
(0*3)+(1+4)=5;(1/4)-(2-5)=6
(3+4)+(4-3)=8;(4-5)-(5*4)=9
(3-0)+(4-0)=7;(4*1)-(5*1)=8
(4-0)*(3+0)=12;(5*1)/(4-1)=23
(2*2)+(1+1)=6;(3/3)-(2-2)=7
(3-3)*(1+1)=0;(4*4)/(2-2)=1
(1-1)+(1+1)=2;(2*2)-(2-2)=3
(1+0)*(2+0)=2;(2-1)/(3-1)=3
(2-4)-(0-3)=1;(3*5)*(1*4)=2
(1+0)+(2*4)=9;(2-1)-(3/5)=0
(4*2)*(1+4)=40;(5/3)/(2-5)=51
2*(4-3)=2;3/(5*4)=3
(0+0)*(4-3)=0;(1-1)/(5*4)=1
(4+3)*(0*1)=0;(5-4)/(1/2)=1
1*(3-3)=0;2/(4*4)=1
(3+1)*(1-0)=4;(4-2)/(2*1)=5
(3+4)+(3+3)=13;(4-5)-(4-4)=24
(2*1)*(0+1)=2;(3/2)/(1-2)=3
(2*4)*(1*0)=0;(3/5)/(2/1)=1
2*(4+3)=14;3/(5-4)=25
(0*2)+(3-3)=0;(1/3)-(4*4)=1
(4-0)+(3*2)=10;(5*1)-(4/3)=21
(0-0)*(1+1)=0;(1*1)/(2-2)=1
(1*3)+(1-4)=0;(2/4)-(2*5)=1
(4*4)+(2+4)=22;(5/5)-(3-5)=33
(0*1)+(0+2)=2;(1/2)-(1-3)=3
(1-1)*0=0;(2*2)/1=1
(0+4)*(1+2)=12;(1-5)/(2-3)=23
(2+1)+(2-1)=4;(3-2)-(3*2)=5
(1+2)-(2+1)=0;(2-3)*(3-2)=1
(2+2)*(3-3)=0;(3-3)/(4*4)=1
(0+4)*(4+0)=16;(1-5)/(5-1)=27
(3*2)+(1*0)=6;(4/3)-(2/1)=7
(3+2)+(3-4)=4;(4-3)-(4*5)=5
(1*1)+3=4;(2/2)-4=5
(1+0)*(1+2)=3;(2-1)/(2-3)=4
(1-0)-(1-2)=2;(2*1)*(2*3)=3
(1*0)*(0-4)=0;(2/1)/(1*5)=1
(3*4)-3=9;(4/5)*4=0
(1+2)+2=5;(2-3)-3=6
(3+4)+(0-4)=3;(4-5)-(1*5)=4
(4+3)+(3-3)=7;(5-4)-(4*4)=8
(4-0)-(4-2)=2;(5*1)*(5*3)=3
2-(1-3)=4;3*(2*4)=5
(1*4)+(1-0)=5;(2/5)-(2*1)=6
(1-1)*(1-2)=0;(2*2)/(2*3)=1
(3+2)+(4+0)=9;(4-3)-(5-1)=0
(1+2)*(0+3)=9;(2-3)/(1-4)=0
(3+2)*(4*1)=20;(4-3)/(5/2)=31
(4-0)+(1-0)=5;(5*1)-(2*1)=6
(3+2)*(4*4)=80;(4-3)/(5/5)=91
(3+2)*(4+0)=20;(4-3)/(5-1)=31
(4*4)-(2+3)=11;(5/5)*(3-4)=22
(4-3)*(3*0)=0;(5*4)/(4/1)=1
(2-1)*(2-0)=2;(3*2)/(3*1)=3
(0+3)-(3*0)=3;(1-4)*(4/1)=4
(0+4)+0=4;(1-5)-1=5
(4+1)*(4+2)=30;(5-2)/(5-3)=41
(0+4)*(2+2)=16;(1-5)/(3-3)=27
(3-1)+(1-0)=3;(4*2)-(2*1)=4
(2*2)*(2+2)=16;(3/3)/(3-3)=27
(0*0)*(0*0)=0;(1/1)/(1/1)=1
(3+1)*(4-4)=0;(4-2)/(5*5)=1
(0-0)+(4*0)=0;(1*1)-(5/1)=1
(0+3)-(3-2)=2;(1-4)*(4*3)=3
(1*3)+4=7;(2/4)-5=8
(0-0)*(3+2)=0;(1*1)/(4-3)=1
3+(1-2)=2;4-(2*3)=3
(3*3)-(3+3)=3;(4/4)*(4-4)=4
(2+3)-(1-4)=8;(3-4)*(2*5)=9
(0+3)*(0*2)=0;(1-4)/(1/3)=1
(0*0)*4=0;(1/1)/5=1
2+(0+4)=6;3-(1-5)=7
(1*3)+(1*2)=5;(2/4)-(2/3)=6
(3+3)-(3+3)=0;(4-4)*(4-4)=1
(4+4)-(1*1)=7;(5-5)*(2/2)=8
(4+1)-(3-3)=5;(5-2)*(4*4)=6
0+(2-0)=2;1-(3*1)=3
(1-4)+4=1;(2*5)-5=2
(4-4)+(0+3)=3;(5*5)-(1-4)=4
(3*1)*(3+4)=21;(4/2)/(4-5)=32
(1*0)*(3+1)=0;(2/1)/(4-2)=1
(0+2)+(1+3)=6;(1-3)-(2-4)=7
4+(0-1)=3;5-(1*2)=4
(3*3)-(0*1)=9;(4/4)*(1/2)=0
(4-2)+(3-2)=3;(5*3)-(4*3)=4
(4-2)+(2+1)=5;(5*3)-(3-2)=6
(3-2)-(1-3)=3;(4*3)*(2*4)=4
(4*0)*(3-4)=0;(5/1)/(4*5)=1
(1-1)+(3*1)=3;(2*2)-(4/2)=4
(1*2)+(2+4)=8;(2/3)-(3-5)=9
(3*2)-(0-2)=8;(4/3)*(1*3)=9
(4*2)*(1*4)=32;(5/3)/(2/5)=43
(4*3)-(1+4)=7;(5/4)*(2-5)=8
(2*0)*(0*2)=0;(3/1)/(1/3)=1
(0+0)*(3-1)=0;(1-1)/(4*2)=1
(2+1)*4=12;(3-2)/5=23
(0*0)*(3-1)=0;(1/1)/(4*2)=1
(2+1)-(2+1)=0;(3-2)*(3-2)=1
(2*3)+(1*0)=6;(3/4)-(2/1)=7
(4-0)+(2+1)=7;(5*1)-(3-2)=8
(0*0)*(0-2)=0;(1/1)/(1*3)=1
(2-0)*(2+4)=12;(3*1)/(3-5)=23
(4+3)*(4*1)=28;(5-4)/(5/2)=39
4+3=7;5-4=8
(1*3)*(4+2)=18;(2/4)/(5-3)=29
(1+0)+(4*0)=1;(2-1)-(5/1)=2
(3-3)*(2*4)=0;(4*4)/(3/5)=1
(1*4)-(0-4)=8;(2/5)*(1*5)=9
(4+4)*(4-4)=0;(5-5)/(5*5)=1
(3+0)-(1-2)=4;(4-1)*(2*3)=5
(0-3)+(3+3)=3;(1*4)-(4-4)=4
2+(0-0)=2;3-(1*1)=3
